iter	Passed	Remaining
793	949619	2638363
794	950788	2637093
795	951973	2635866
796	953080	2634425
797	954229	2633098
798	955449	2631969
799	956625	2630719
800	957733	2629283
801	958877	2627944
802	960076	2626760
803	961197	2625360
804	962442	2624300
805	963657	2623155
806	964816	2621861
807	965933	2620453
808	967049	2619043
809	968244	2617846
810	969379	2616486
811	970516	2615135
812	971675	2613844
813	972821	2612516
814	973965	2611184
815	975151	2609963
816	976329	2608724
817	977432	2607283
818	978590	2605989
819	979679	2604513
820	980810	2603148
821	981960	2601836
822	983112	2600529
823	984268	2599234
824	985516	2598179
825	986652	2596831
826	987833	2595601
827	989035	2594426
828	990183	2593109
829	991350	2591843
830	992551	2590666
831	993782	2589566
832	995022	2588491
833	996221	2587310
834	997400	2586074
835	998573	2584823
836	999683	2583411
837	1000794	2582003
838	1002006	2580854
839	1003240	2579760
840	1004507	2578752
841	1005735	2577646
842	1006902	2576379
843	1008103	2575203
844	1009298	2574010
845	1010474	2572769
846	1011661	2571554
847	1012867	2570389
848	1014070	2569216
849	1015270	2568036
850	1016507	2566949
851	1017702	2565756
852	1018826	2564384
853	1019991	2563115
854	1021148	2561829
855	1022302	2560534
856	1023539	2559445
857	1024739	2558265
858	1025836	2556829
859	1026994	2555543
860	1028151	2554258
861	1029327	2553019
862	1030523	2551829
863	1031743	2550699
864	1032906	2549429
865	1034101	2548236
866	1035280	2547004
867	1036417	2545671
868	1037618	2544492
869	1038751	2543150
870	1039931	2541922
871	1041241	2541010
872	1042347	2539603
873	1043489	2538282
874	1044741	2537230
875	1045939	2536045
876	1047050	2534650
877	1048259	2533493
878	1049370	2532099
879	1050555	2530883
880	1051738	2529663
881	1052933	2528474
882	1054143	2527318
883	1055279	2525986
884	1056442	2524717
885	1057581	2523394
886	1058743	2522125
887	1059848	2520721
888	1061006	2519442
889	1062178	2518199
890	1063412	2517100
891	1064575	2515836
892	1065731	2514552
893	1066856	2513197
894	1067990	2511865
895	1069093	2510461
896	1070272	2509233
897	1071429	2507956
898	1072671	2506878
899	1073923	2505820
900	1075099	2504587
901	1076271	2503345
902	1077420	2502049
903	1078644	2500927
904	1079784	2499610
905	1080973	2498407
906	1082128	2497127
907	1083421	2496164
908	1084608	2494958
909	1085832	2493834
910	1086953	2492475
911	1088078	2491127
912	1089297	2489992
913	1090504	2488831
914	1091626	2487476
915	1092825	2486298
916	1093966	2484985
917	1095122	2483709
918	1096337	2482566
919	1097473	2481245
920	1098665	2480048
